ciudad,genero,edad,direccion,famtam,estadoP,eduM,eduP,trabM,trabP,razon,asistioNMM,internet,tutor,tpoviaje,tpoestudio,areprobadas,apoyoextra,apoyofam,extrapaga,activextra,qsuperior,pololea,qfamrel,tpolibre,saleamigos,salud,inasistencia,G1,G2,G3,nivelalco
La Serena,F,22,RUR,MI3,JUN,4,3,servicios,otro,cercania,no,si,madre,4,2,1,si,si,si,si,no,no,1,5,4,2,21,6.1,5.8,6.4,BAJO
La Serena,M,20,URB,MQ3,SEP,4,2,otro,en_casa,cercania,si,no,padre,4,3,3,si,si,si,si,si,no,3,1,3,1,1,3.3,3.2,3.2,ALTO
Valparaiso,F,18,URB,MI3,JUN,1,4,otro,salud,otro,si,no,otro,3,3,1,si,no,no,no,si,si,3,5,2,3,13,4,4.1,3.6,ALTO
La Serena,F,22,RUR,MQ3,JUN,3,2,profesor,otro,cercania,si,no,padre,1,4,0,si,no,no,no,no,si,4,3,3,2,17,3.7,4.1,3.5,ALTO
Valparaiso,M,21,URB,MI3,JUN,3,0,en_casa,otro,curriculo,si,si,madre,1,2,1,no,no,no,no,si,si,2,2,1,1,15,4.9,6.4,5.3,NORMAL
La Serena,M,21,URB,MQ3,JUN,1,3,otro,profesor,cercania,si,no,padre,2,2,3,si,no,no,no,si,no,2,4,2,4,21,3.4,3.6,3.9,MUYALTO
La Serena,M,21,URB,MQ3,JUN,4,2,servicios,servicios,reputacion,si,no,otro,2,3,0,si,si,si,si,no,no,2,5,3,5,54,1.7,1.9,1.6,ALTO
Valparaiso,F,18,URB,MQ3,JUN,2,1,servicios,en_casa,reputacion,si,si,madre,2,4,0,no,si,si,no,no,si,4,5,2,2,30,4.3,4,3.9,BAJO
La Serena,M,19,RUR,MQ3,SEP,4,4,servicios,servicios,reputacion,si,si,padre,3,1,2,si,no,si,si,si,si,4,4,5,1,24,3.3,4.1,3.6,MUYALTO
Valparaiso,M,20,URB,MI3,JUN,3,3,en_casa,profesor,curriculo,si,no,madre,3,1,3,no,no,no,si,no,no,4,2,1,5,0,6.4,4.4,5,BAJO
La Serena,M,19,URB,MQ3,SEP,2,4,servicios,otro,cercania,no,si,madre,1,4,3,no,no,no,si,no,no,2,1,3,3,5,6.7,3.1,5.2,NORMAL
Valparaiso,F,22,URB,MQ3,JUN,0,4,servicios,en_casa,reputacion,no,no,otro,1,2,2,si,si,si,no,si,si,4,4,5,4,54,1.9,2.3,1.7,NORMAL
La Serena,F,19,URB,MI3,JUN,4,3,otro,profesor,cercania,si,si,otro,1,4,2,si,no,no,no,no,no,3,1,3,3,23,4.9,4.8,4.7,ALTO
Valparaiso,M,23,RUR,MQ3,JUN,0,4,otro,salud,otro,no,si,otro,4,4,1,no,no,si,si,si,no,1,5,2,4,3,4.9,2.8,4.9,BAJO
La Serena,F,21,RUR,MQ3,JUN,3,0,en_casa,otro,otro,si,no,madre,2,3,1,no,no,si,si,no,si,1,2,3,3,22,3.7,6.4,5.3,MUYBAJO
Valparaiso,F,18,URB,MQ3,JUN,4,0,otro,en_casa,reputacion,si,no,padre,2,1,2,no,si,no,no,si,si,4,1,5,3,30,3.4,4.9,5.8,NORMAL
La Serena,M,22,URB,MI3,SEP,3,1,servicios,servicios,otro,si,no,padre,4,1,1,si,si,no,si,no,no,3,3,3,5,3,3.5,3.5,3.7,ALTO
Valparaiso,F,19,URB,MI3,JUN,2,2,en_casa,en_casa,otro,no,no,madre,4,4,2,si,no,no,no,si,no,4,3,1,4,4,4.3,3.3,4.1,ALTO
La Serena,M,23,URB,MQ3,SEP,0,3,en_casa,servicios,otro,no,no,otro,4,1,2,no,no,si,no,no,si,4,5,3,1,12,4,6.1,4.6,BAJO
Valparaiso,M,19,URB,MQ3,JUN,0,3,servicios,profesor,curriculo,no,si,otro,2,3,0,si,si,no,si,no,si,1,2,5,4,11,3.7,5.5,4.9,NORMAL
Valparaiso,M,22,URB,MQ3,JUN,3,4,profesor,otro,cercania,si,no,padre,2,1,1,si,no,si,si,si,si,3,3,2,5,54,2.1,1.8,1.8,ALTO
Valparaiso,M,23,RUR,MQ3,SEP,3,4,profesor,profesor,curriculo,si,no,otro,2,3,2,si,no,no,si,si,no,3,5,2,5,9,6.7,3.1,6.1,BAJO
La Serena,F,25,URB,MI3,JUN,4,3,salud,profesor,curriculo,no,no,madre,2,3,1,no,no,si,no,no,si,2,2,2,1,4,3.6,4.1,3.6,ALTO
La Serena,M,18,RUR,MI3,JUN,4,3,profesor,servicios,curriculo,si,si,padre,1,1,3,si,no,no,si,si,si,2,1,2,5,12,4,3.1,4,BAJO
Valparaiso,F,19,URB,MI3,SEP,3,2,otro,servicios,curriculo,si,si,padre,1,1,3,no,no,si,no,si,no,3,1,4,1,18,4.9,2.8,4,BAJO
La Serena,F,22,URB,MI3,JUN,4,0,salud,en_casa,otro,no,si,madre,4,3,3,si,no,si,si,si,si,4,2,3,1,26,4.9,4.8,4.7,ALTO
Valparaiso,M,21,URB,MQ3,JUN,3,1,profesor,servicios,curriculo,no,no,otro,1,2,2,si,si,no,no,no,no,4,1,5,3,28,4.7,4.1,4,ALTO
Valparaiso,F,21,RUR,MI3,JUN,0,3,en_casa,profesor,curriculo,no,no,otro,4,3,0,si,no,no,no,no,si,4,3,4,5,13,6.4,4,5.5,BAJO
Valparaiso,M,23,URB,MQ3,SEP,3,0,en_casa,en_casa,otro,no,si,padre,4,2,2,si,no,no,no,no,si,1,1,1,4,75,1.7,1.8,2.2,NORMAL
La Serena,M,25,RUR,MI3,JUN,1,3,en_casa,otro,curriculo,no,si,padre,1,4,0,si,no,si,no,no,no,2,3,5,5,18,3.6,3.6,4.2,ALTO
Valparaiso,M,18,URB,MI3,SEP,3,4,servicios,salud,otro,no,si,padre,1,1,2,si,no,no,no,si,no,5,4,1,2,56,2.3,2.2,2.2,BAJO
Valparaiso,F,23,URB,MI3,JUN,3,4,salud,servicios,reputacion,si,si,otro,1,4,3,no,si,si,si,si,si,3,4,5,4,14,6.4,4.9,7,NORMAL
La Serena,F,19,RUR,MI3,SEP,3,1,servicios,otro,otro,si,no,madre,3,4,1,no,no,no,no,si,no,2,1,2,2,8,3.6,6.7,4.7,BAJO
La Serena,F,21,URB,MI3,JUN,4,4,profesor,otro,curriculo,no,si,padre,1,1,0,no,si,si,no,no,no,5,3,1,2,8,4.8,4.7,4.7,ALTO
La Serena,F,19,URB,MI3,JUN,4,4,salud,otro,curriculo,si,si,padre,3,1,1,no,si,si,no,no,si,4,1,5,2,10,2.8,5.8,6.7,BAJO
Valparaiso,M,18,RUR,MQ3,SEP,4,0,servicios,servicios,reputacion,no,si,otro,4,1,1,si,si,si,si,si,no,4,4,3,4,2,5.8,4.3,5.6,BAJO
Valparaiso,M,19,RUR,MQ3,JUN,1,4,servicios,profesor,reputacion,no,no,otro,2,4,1,si,si,si,no,no,si,4,3,2,1,54,2.2,1.9,2.3,BAJO
Valparaiso,M,21,RUR,MI3,SEP,3,0,otro,en_casa,curriculo,no,no,otro,3,2,2,si,si,si,no,si,si,3,1,3,3,3,3.6,3.6,3.6,ALTO
La Serena,M,18,URB,MQ3,JUN,4,4,en_casa,salud,cercania,no,no,otro,2,2,1,no,no,no,si,no,no,5,4,3,3,1,5.2,5.5,5.5,MUYBAJO
La Serena,M,19,URB,MI3,JUN,3,3,profesor,salud,otro,no,si,otro,2,2,3,no,si,no,no,no,si,3,1,1,2,4,4,4.6,4.5,BAJO
Valparaiso,F,18,URB,MI3,JUN,1,0,servicios,en_casa,otro,no,si,otro,3,2,3,si,no,si,no,no,no,3,1,5,3,22,4.9,4.8,4.7,ALTO
La Serena,F,22,RUR,MI3,JUN,3,2,salud,servicios,reputacion,no,si,madre,2,1,3,no,no,no,no,si,no,5,5,5,3,54,2.3,1.8,2.2,NORMAL
Valparaiso,M,20,URB,MI3,JUN,2,4,en_casa,profesor,cercania,no,si,otro,2,3,1,si,no,si,no,si,si,3,3,2,2,24,4.3,6.1,4.8,BAJO
Valparaiso,M,20,RUR,MQ3,SEP,1,3,otro,otro,curriculo,no,no,padre,1,1,3,no,no,no,no,no,no,4,4,3,3,13,4,3.3,3.9,ALTO
La Serena,F,21,URB,MI3,JUN,3,4,en_casa,profesor,otro,si,no,padre,2,4,1,no,si,si,si,si,no,2,5,1,1,20,2.2,3.7,3.4,BAJO
La Serena,M,18,RUR,MI3,SEP,0,2,servicios,otro,otro,si,si,madre,4,1,2,si,no,no,si,si,si,1,5,2,1,3,4,3.5,4.1,ALTO
Valparaiso,M,18,URB,MQ3,SEP,4,3,en_casa,salud,curriculo,si,no,otro,1,1,2,no,no,no,si,no,no,4,2,4,3,75,1.8,2.2,1.9,NORMAL
Valparaiso,M,21,URB,MQ3,SEP,0,1,en_casa,en_casa,otro,no,si,padre,1,4,2,no,no,si,si,si,si,1,3,5,5,25,3.1,3.7,3.5,BAJO
Valparaiso,F,23,URB,MQ3,JUN,0,0,otro,otro,curriculo,si,si,madre,3,3,3,si,no,no,no,si,si,3,3,5,2,15,3.7,3.9,3.6,ALTO
Valparaiso,M,19,RUR,MI3,SEP,2,2,otro,otro,otro,no,si,madre,4,1,3,si,si,no,si,no,si,1,2,5,1,0,2.2,3.4,2.7,BAJO
Valparaiso,M,22,URB,MQ3,SEP,3,4,servicios,en_casa,reputacion,si,no,otro,2,2,0,no,si,si,si,no,no,4,2,3,1,1,4,5.2,5.3,BAJO
La Serena,F,19,RUR,MI3,SEP,3,3,salud,profesor,cercania,si,no,madre,3,4,3,no,si,si,no,si,si,3,1,1,1,21,2.2,4,5.2,BAJO
La Serena,M,25,URB,MI3,SEP,2,3,otro,otro,curriculo,si,no,padre,2,1,1,no,no,si,si,si,si,3,4,3,5,30,6.7,2.8,4.9,BAJO
Valparaiso,M,25,RUR,MI3,SEP,2,1,servicios,otro,curriculo,no,si,padre,1,1,0,si,si,no,si,si,no,4,1,1,5,75,2.1,1.6,1.8,ALTO
La Serena,M,18,RUR,MQ3,SEP,4,3,salud,servicios,cercania,si,no,padre,2,4,1,si,no,no,si,no,si,4,1,3,1,7,4.3,5.8,6.1,NORMAL
Valparaiso,F,22,URB,MQ3,JUN,4,4,profesor,salud,cercania,si,no,padre,3,3,0,no,no,no,si,si,no,1,1,3,3,18,5.2,3.7,4.9,NORMAL
Valparaiso,F,18,RUR,MQ3,SEP,4,3,profesor,servicios,cercania,si,si,madre,2,2,0,si,si,no,no,si,si,4,1,5,1,2,3.4,3.6,3.4,MUYALTO
La Serena,F,21,RUR,MQ3,JUN,4,1,salud,en_casa,reputacion,si,si,padre,1,1,2,no,si,si,si,si,no,2,4,5,3,7,4.1,4.1,4.2,ALTO
Valparaiso,M,19,RUR,MI3,JUN,0,4,otro,otro,curriculo,si,si,otro,2,4,3,si,si,si,si,no,si,5,1,5,1,26,4.9,3.9,4.6,ALTO
La Serena,F,25,URB,MQ3,JUN,4,3,salud,profesor,reputacion,no,no,otro,2,1,2,si,no,si,si,si,no,2,5,1,5,75,2,2.1,1.9,ALTO
La Serena,F,21,RUR,MI3,SEP,3,0,salud,otro,reputacion,si,no,padre,3,3,2,no,no,si,si,no,no,3,4,5,5,75,1.7,2.3,1.8,NORMAL
La Serena,F,22,URB,MQ3,SEP,1,0,otro,en_casa,cercania,no,si,padre,1,1,2,si,si,si,si,no,no,5,1,3,5,1,3.6,5.2,4.8,MUYBAJO
La Serena,M,19,URB,MQ3,SEP,3,2,salud,en_casa,curriculo,si,si,padre,1,3,1,no,si,si,no,si,no,1,3,5,1,17,6.4,2.8,5.2,BAJO
La Serena,M,20,RUR,MI3,JUN,0,4,otro,profesor,curriculo,no,si,otro,1,1,3,no,si,si,no,si,no,2,3,3,3,18,4.3,4.1,4.7,ALTO
Valparaiso,M,18,URB,MI3,JUN,4,1,servicios,otro,cercania,no,si,otro,3,2,0,no,si,no,si,no,no,3,4,4,1,17,4.9,4.8,4.7,ALTO
Valparaiso,M,18,RUR,MI3,JUN,1,2,servicios,otro,otro,no,no,otro,4,3,2,si,si,no,no,no,no,3,5,1,1,7,5.5,3.8,4.2,BAJO
La Serena,F,20,RUR,MI3,JUN,3,4,otro,profesor,otro,si,no,madre,3,1,1,no,no,no,si,si,no,4,2,4,4,19,5.2,4.3,5.5,BAJO
Valparaiso,F,25,RUR,MQ3,JUN,0,4,en_casa,otro,otro,si,si,padre,2,4,3,si,si,si,no,no,si,1,3,1,4,11,4.9,4.8,4.7,ALTO
La Serena,F,23,RUR,MQ3,JUN,0,4,en_casa,en_casa,cercania,si,no,madre,1,3,2,si,si,si,no,si,si,4,2,4,2,8,5.8,4.3,4.7,NORMAL
Valparaiso,M,18,RUR,MI3,SEP,1,4,servicios,otro,otro,no,no,otro,3,3,0,no,si,si,si,si,no,1,2,5,5,11,5.5,5.5,6.1,BAJO
La Serena,F,23,URB,MI3,SEP,0,4,servicios,salud,cercania,no,no,padre,4,3,2,si,si,si,no,si,si,1,2,4,3,18,3.6,3.4,3.6,ALTO
La Serena,M,23,URB,MI3,SEP,4,3,servicios,en_casa,reputacion,si,no,madre,4,3,3,no,si,no,no,no,si,4,5,4,1,1,4.2,3.5,3.9,MUYALTO
La Serena,M,20,URB,MI3,JUN,0,4,en_casa,salud,cercania,no,no,otro,3,3,0,si,no,si,no,si,no,3,2,1,1,11,4.9,4.8,4.7,ALTO
La Serena,M,20,RUR,MI3,SEP,3,3,salud,salud,cercania,si,no,otro,3,4,1,si,no,si,no,no,no,2,1,2,2,4,3.9,4.2,4,MUYALTO
Valparaiso,M,19,RUR,MQ3,SEP,3,3,profesor,servicios,otro,si,si,otro,4,4,0,no,no,no,si,no,si,5,1,5,2,0,3.6,3.4,3.5,MUYALTO
Valparaiso,F,21,RUR,MI3,SEP,3,4,otro,salud,reputacion,no,no,padre,2,4,2,si,si,si,si,no,si,2,3,3,5,23,4.1,3.2,3.9,MUYALTO
Valparaiso,M,22,RUR,MI3,JUN,4,4,salud,salud,curriculo,no,no,madre,2,2,3,si,no,no,no,si,si,5,3,1,5,17,5.2,4.3,7,BAJO
La Serena,M,25,RUR,MI3,SEP,1,4,otro,salud,curriculo,si,si,otro,1,2,0,no,si,si,si,si,si,2,2,4,2,28,4.3,5.2,4.9,NORMAL
La Serena,F,23,RUR,MI3,JUN,2,3,otro,profesor,otro,si,no,padre,2,2,3,no,si,no,si,no,no,2,3,5,2,9,4.9,3.4,3.9,BAJO
La Serena,M,21,RUR,MI3,SEP,0,3,otro,en_casa,curriculo,si,no,otro,3,4,3,si,no,si,no,si,si,1,4,4,1,17,5.2,4,6.4,BAJO
La Serena,F,20,URB,MQ3,JUN,0,3,otro,profesor,otro,si,si,padre,1,3,1,si,si,si,no,no,no,5,3,5,2,7,3.7,4.5,3.9,ALTO
La Serena,F,19,RUR,MQ3,SEP,2,3,en_casa,salud,cercania,no,si,otro,4,3,0,si,si,si,no,si,si,1,5,5,3,75,2.2,2.2,1.9,BAJO
Valparaiso,M,23,URB,MQ3,SEP,3,0,servicios,otro,cercania,si,no,madre,4,1,0,no,no,si,si,no,no,3,1,2,3,6,5.2,4,7,NORMAL
Valparaiso,M,23,URB,MQ3,JUN,1,3,en_casa,otro,curriculo,si,no,madre,2,4,3,si,no,no,si,no,si,3,1,2,1,56,1.8,2.1,1.7,BAJO
La Serena,F,23,URB,MI3,JUN,3,2,salud,otro,cercania,si,no,otro,2,2,3,si,no,no,no,si,no,5,4,5,5,3,3.6,3.4,3.3,ALTO
La Serena,M,23,RUR,MQ3,SEP,0,0,en_casa,otro,reputacion,no,si,padre,2,1,2,si,si,si,no,no,no,2,1,1,2,15,3.6,3.3,4.3,MUYALTO
La Serena,F,18,URB,MQ3,SEP,3,3,salud,profesor,reputacion,no,si,madre,1,3,2,no,si,si,no,no,si,2,3,5,1,16,3.4,5.2,4.9,BAJO
La Serena,M,22,URB,MQ3,JUN,1,4,otro,salud,reputacion,si,si,madre,4,3,1,si,si,si,si,si,si,2,2,3,3,12,3.1,5.2,6.4,BAJO
La Serena,F,22,RUR,MI3,SEP,4,3,profesor,salud,otro,no,si,otro,4,2,0,si,si,no,si,no,no,3,5,5,4,5,3.6,3.5,3.9,ALTO
Valparaiso,F,19,RUR,MI3,JUN,4,1,salud,en_casa,cercania,si,si,otro,3,1,0,si,si,si,si,si,no,4,4,5,1,30,2.2,2.5,2.6,BAJO
Valparaiso,M,21,URB,MQ3,JUN,4,1,otro,en_casa,cercania,si,no,otro,3,3,0,no,si,si,no,no,no,2,4,1,2,6,4,5.5,5,NORMAL
La Serena,M,18,URB,MI3,SEP,4,1,profesor,otro,reputacion,si,si,madre,3,1,1,no,si,no,no,no,no,1,2,3,5,5,6.1,2.8,4.6,BAJO
La Serena,M,22,URB,MI3,SEP,4,3,profesor,salud,reputacion,si,si,madre,4,4,1,si,si,si,si,si,si,1,3,5,1,25,3.1,5.5,4.9,BAJO
La Serena,F,23,RUR,MI3,SEP,3,0,salud,servicios,reputacion,no,si,otro,1,1,1,si,si,si,si,si,si,2,2,3,1,56,2,1.9,1.5,ALTO
Valparaiso,M,23,RUR,MQ3,SEP,1,4,otro,profesor,curriculo,si,si,padre,4,4,0,si,si,no,si,no,no,2,4,4,4,7,3.5,3.3,4.1,MUYALTO
La Serena,F,22,URB,MQ3,SEP,3,2,en_casa,otro,otro,no,si,otro,3,1,0,no,si,no,si,no,no,1,4,2,1,4,4.3,4.1,3.5,ALTO
Valparaiso,F,20,RUR,MI3,SEP,3,3,en_casa,en_casa,reputacion,no,no,madre,2,1,3,no,no,no,si,no,si,3,5,3,5,10,3.6,4.2,3.5,ALTO
Valparaiso,M,20,URB,MI3,SEP,3,0,salud,servicios,cercania,no,si,padre,3,3,0,si,no,si,si,si,no,4,1,5,1,4,3.4,3.2,3.2,ALTO
La Serena,M,22,RUR,MI3,SEP,0,0,servicios,en_casa,curriculo,si,no,padre,3,1,0,no,si,no,si,si,no,4,1,1,5,26,3.8,6.1,4.6,MUYBAJO
Valparaiso,M,18,RUR,MQ3,JUN,4,4,profesor,en_casa,otro,si,si,padre,4,3,0,no,si,si,no,no,no,2,3,3,4,2,3.7,3.4,3.8,NORMAL
La Serena,M,22,RUR,MI3,SEP,4,1,salud,otro,cercania,si,si,otro,4,2,2,no,no,no,no,si,no,5,3,2,4,7,2.9,3.7,3.1,ALTO
La Serena,M,25,URB,MQ3,JUN,2,4,en_casa,salud,curriculo,si,no,otro,3,3,0,no,si,si,si,si,no,3,3,3,1,4,2.8,4.9,3.6,NORMAL
Valparaiso,F,20,RUR,MQ3,JUN,3,4,servicios,en_casa,cercania,si,no,padre,2,3,1,si,no,no,si,si,no,4,2,3,5,4,5.2,6.7,6.8,BAJO
La Serena,F,20,RUR,MQ3,JUN,4,4,en_casa,salud,curriculo,si,si,madre,3,1,3,no,si,no,no,si,no,1,2,3,4,54,2.2,2.3,2.1,MUYBAJO
La Serena,M,21,URB,MI3,SEP,3,3,servicios,profesor,reputacion,si,si,madre,2,3,3,no,si,si,si,no,si,3,1,2,5,17,4.6,3.6,5.5,BAJO
La Serena,F,20,RUR,MQ3,JUN,3,4,salud,servicios,otro,si,no,otro,4,2,2,no,no,si,si,no,si,1,2,3,2,28,4,3.1,3.9,NORMAL
La Serena,M,20,RUR,MI3,SEP,2,2,otro,en_casa,cercania,no,no,padre,1,2,2,si,si,si,si,si,no,4,4,1,3,5,3.9,6.1,5.5,MUYBAJO
La Serena,F,20,RUR,MI3,SEP,0,4,servicios,salud,cercania,si,no,padre,2,4,2,si,no,si,si,si,si,4,4,4,1,12,3.1,6.1,5.8,BAJO
Valparaiso,M,21,URB,MQ3,SEP,2,1,servicios,servicios,curriculo,si,no,madre,1,2,1,si,si,no,no,si,no,5,5,3,5,5,2.8,6.4,5.3,BAJO
La Serena,F,22,RUR,MQ3,JUN,1,3,otro,profesor,curriculo,no,no,padre,4,3,2,no,si,si,si,si,no,2,5,4,2,56,2.2,1.8,2.2,BAJO
La Serena,F,22,URB,MQ3,JUN,4,3,salud,servicios,cercania,no,si,otro,1,1,0,si,si,si,no,no,no,2,1,5,4,2,4.3,2.5,4,BAJO
La Serena,F,21,RUR,MI3,SEP,4,4,profesor,salud,reputacion,si,no,padre,2,4,2,si,si,no,si,no,si,4,3,5,5,23,3.7,3.4,4.3,NORMAL
Valparaiso,F,18,RUR,MI3,SEP,2,2,en_casa,servicios,curriculo,no,no,madre,4,1,0,si,si,si,si,no,si,4,1,5,4,14,4.9,6.4,6.4,MUYBAJO
Valparaiso,M,18,URB,MI3,SEP,1,4,servicios,profesor,reputacion,no,si,otro,3,1,2,si,no,si,si,no,si,5,4,1,5,18,3.4,3.1,5.2,BAJO
Valparaiso,F,20,RUR,MQ3,JUN,1,3,en_casa,salud,reputacion,si,no,padre,1,3,0,no,no,si,si,si,no,3,5,4,4,26,3.3,4.3,3.5,MUYALTO
Valparaiso,F,22,URB,MQ3,SEP,3,4,profesor,salud,cercania,no,no,padre,3,1,2,si,si,si,si,si,no,3,5,4,5,12,3.7,4.3,4.6,BAJO
La Serena,M,18,URB,MI3,SEP,3,4,en_casa,salud,curriculo,si,no,madre,4,1,1,si,si,si,no,si,si,1,5,4,4,14,3.5,4.3,4.1,ALTO
La Serena,F,21,RUR,MI3,JUN,2,3,en_casa,en_casa,curriculo,si,si,padre,4,4,1,si,si,no,si,no,si,5,4,1,3,10,4.6,6.7,6,BAJO
La Serena,F,21,URB,MQ3,JUN,3,4,otro,salud,curriculo,no,si,padre,4,4,1,no,no,si,no,no,si,2,1,2,2,56,1.9,1.9,2.1,ALTO
Valparaiso,F,23,URB,MQ3,JUN,3,4,en_casa,otro,reputacion,si,si,madre,2,2,1,no,no,no,no,si,si,4,5,4,4,17,5.8,4.8,5.8,NORMAL
La Serena,F,18,RUR,MI3,SEP,4,3,otro,profesor,cercania,si,si,padre,4,4,0,no,no,si,no,si,si,4,3,2,5,17,3.1,1,2.2,BAJO
La Serena,F,20,RUR,MQ3,JUN,4,1,salud,en_casa,reputacion,no,no,madre,2,2,3,si,si,no,si,si,si,5,4,2,3,17,4.6,5.8,5.5,MUYBAJO
La Serena,M,19,RUR,MQ3,JUN,4,3,profesor,en_casa,reputacion,si,no,otro,3,4,3,si,si,si,si,no,si,4,4,2,5,25,3.7,4.6,6.1,MUYBAJO
La Serena,F,18,RUR,MI3,SEP,0,1,otro,servicios,cercania,no,no,madre,1,2,2,no,si,no,no,no,no,3,2,3,4,26,5.5,3.4,5.8,BAJO
La Serena,M,21,RUR,MQ3,JUN,0,0,en_casa,otro,otro,si,si,madre,1,3,0,si,no,no,no,no,si,4,5,2,5,8,5.5,5.5,5.8,BAJO
Valparaiso,M,21,URB,MQ3,SEP,3,1,profesor,servicios,reputacion,si,si,madre,3,1,2,si,si,no,si,no,si,3,5,4,5,4,3.7,3.7,3.6,MUYALTO
La Serena,M,18,RUR,MQ3,JUN,0,0,otro,otro,cercania,si,si,padre,3,3,1,no,no,no,no,no,no,4,2,5,1,1,6.7,5.8,6.9,MUYBAJO
Valparaiso,M,23,URB,MQ3,SEP,2,1,en_casa,servicios,curriculo,si,no,otro,3,3,3,si,si,no,no,no,si,2,4,2,4,30,3.4,6.4,4.7,NORMAL
La Serena,F,23,URB,MQ3,JUN,0,0,otro,en_casa,cercania,si,no,otro,4,4,2,no,si,no,si,si,no,1,4,3,4,28,3.4,4.6,3.6,BAJO
La Serena,M,23,RUR,MQ3,SEP,3,3,salud,profesor,otro,si,no,madre,4,4,0,no,si,si,si,si,no,4,1,3,4,12,4.5,6.4,5.8,BAJO
La Serena,F,20,URB,MI3,SEP,0,1,otro,otro,cercania,si,si,madre,1,3,0,no,si,no,no,no,si,1,3,3,1,11,4.5,6.1,6.1,NORMAL
Valparaiso,F,23,URB,MI3,JUN,0,3,servicios,profesor,reputacion,si,si,otro,4,2,1,si,si,no,no,no,no,3,3,4,5,16,6.4,3.7,5.2,BAJO
La Serena,F,18,URB,MI3,JUN,1,4,otro,profesor,curriculo,si,no,madre,4,2,2,no,no,si,no,no,si,3,1,3,1,54,2.2,1.8,1.7,NORMAL
Valparaiso,F,20,URB,MQ3,JUN,0,4,servicios,profesor,curriculo,no,si,otro,2,3,1,si,si,si,no,si,si,5,2,1,2,16,3.4,4.1,4.2,ALTO
La Serena,M,19,RUR,MI3,SEP,3,2,profesor,otro,otro,si,si,padre,3,4,1,si,no,si,no,no,si,5,3,3,1,54,2.2,1.7,2.2,NORMAL
La Serena,M,22,URB,MQ3,SEP,3,0,profesor,otro,cercania,no,no,otro,1,2,0,no,no,si,no,si,si,1,4,4,1,21,3.6,5.8,4.9,BAJO
La Serena,F,21,RUR,MQ3,SEP,3,4,profesor,profesor,curriculo,no,si,padre,1,1,1,no,si,si,no,no,no,3,4,3,3,14,4.4,3.7,4.3,ALTO
Valparaiso,M,25,RUR,MQ3,JUN,3,3,en_casa,en_casa,curriculo,si,no,otro,2,1,3,no,si,no,no,no,si,2,4,1,1,23,3.6,5.2,6.7,NORMAL
La Serena,F,22,URB,MI3,SEP,1,2,otro,en_casa,cercania,no,si,otro,1,3,1,no,si,si,no,si,si,4,2,3,3,4,4.3,4,3.9,ALTO
Valparaiso,M,22,RUR,MI3,SEP,2,3,servicios,profesor,curriculo,no,no,madre,2,3,2,si,si,no,no,si,no,3,4,2,2,54,2.3,2.2,2.1,ALTO
Valparaiso,M,21,URB,MQ3,SEP,3,1,profesor,otro,cercania,si,no,padre,3,2,3,si,no,si,no,no,si,1,1,5,5,3,5.8,6.4,6.7,NORMAL
Valparaiso,M,22,URB,MI3,JUN,1,3,en_casa,profesor,curriculo,si,no,madre,3,2,3,no,no,no,si,si,si,2,3,3,1,17,3.7,6.1,5.4,BAJO
Valparaiso,F,25,URB,MQ3,SEP,0,4,servicios,en_casa,curriculo,no,si,madre,2,4,2,no,si,no,si,si,si,4,4,4,5,54,1.8,2.1,1.8,NORMAL
Valparaiso,M,20,RUR,MI3,SEP,4,4,en_casa,en_casa,reputacion,no,no,madre,2,2,1,si,si,si,si,si,si,1,4,5,2,4,4.9,5.8,5,NORMAL
Valparaiso,F,22,RUR,MI3,JUN,3,0,en_casa,otro,otro,si,no,madre,4,1,0,si,no,si,no,si,si,3,4,4,3,9,5.2,3.1,4.3,BAJO
La Serena,M,21,URB,MI3,JUN,3,4,profesor,profesor,otro,si,no,otro,4,2,3,si,no,si,si,si,si,2,4,1,1,2,3.4,2.5,3.4,MUYBAJO
La Serena,F,19,RUR,MI3,JUN,3,0,salud,otro,otro,si,si,padre,4,4,0,no,si,no,si,no,si,1,2,1,3,5,5.8,4,6.4,BAJO
La Serena,F,21,RUR,MQ3,SEP,4,3,salud,otro,curriculo,si,no,madre,4,3,2,no,si,si,no,si,si,3,5,5,3,22,3.7,2.5,3.6,NORMAL
La Serena,M,23,RUR,MI3,JUN,3,3,profesor,otro,reputacion,si,no,padre,4,4,2,no,si,no,no,si,si,4,3,1,4,28,3.4,3.6,4.2,ALTO
Valparaiso,F,20,RUR,MI3,SEP,0,3,en_casa,salud,reputacion,no,no,otro,2,4,2,si,si,si,si,si,no,4,2,1,2,16,3.1,5.5,4.1,NORMAL
La Serena,M,18,RUR,MI3,SEP,4,1,salud,en_casa,cercania,si,si,padre,3,3,1,no,no,no,si,no,si,2,5,4,1,24,4.9,3.4,6.4,BAJO
Valparaiso,M,19,RUR,MI3,JUN,0,4,en_casa,otro,cercania,si,si,madre,4,2,3,no,no,si,si,no,si,2,2,1,1,10,4.9,4.8,4.7,ALTO
La Serena,M,25,RUR,MQ3,SEP,2,4,otro,en_casa,otro,si,no,madre,1,3,1,no,si,si,no,no,no,4,1,1,5,25,3.7,3.2,3.2,MUYALTO
La Serena,M,20,URB,MI3,JUN,3,3,profesor,servicios,curriculo,si,si,otro,2,2,3,no,no,si,no,si,no,5,4,2,1,12,4.2,4,3.4,ALTO
